Topologia,Avg_RSSI,DIO_Count,DIS_Count,Rank_Changes,PDR,Avg_Delay,Throughput_kbps,Energy_Consumed,Attack_Class
Grid_36,-62.6,30,3,1,100.0,14.4,33.9,0.36,Normal
Grid_36,-63.6,28,4,0,92.04,14.4,29.56,0.36,Normal
Grid_36,-66.6,28,3,1,91.08,14.4,34.7,0.36,Normal
Grid_36,-63.6,26,3,2,100.0,14.4,38.45,0.36,Normal
Grid_36,-65.5,32,3,0,97.62,14.4,28.78,0.36,Normal
Grid_36,-64.4,27,3,2,96.17,14.4,36.53,0.36,Normal
Grid_36,-64.5,30,4,1,100.0,14.4,35.52,0.36,Normal
Grid_36,-63.2,29,3,0,94.99,14.4,33.06,0.36,Normal
Grid_36,-65.5,27,3,0,97.55,14.4,37.73,0.36,Normal
Grid_36,-66.5,27,2,1,100.0,14.4,38.78,0.36,Normal
Grid_36,-62.8,29,2,2,89.2,14.4,33.84,0.36,Normal
Grid_36,-64.9,33,3,2,100.0,14.4,34.54,0.36,Normal
Grid_36,-69.6,35,3,2,94.05,14.4,33.69,0.36,Normal
Grid_36,-64.9,34,4,2,100.0,14.4,36.44,0.36,Normal
Grid_36,-61.7,29,2,2,100.0,14.4,33.47,0.36,Normal
Grid_36,-64.0,26,3,2,100.0,14.4,38.57,0.36,Normal
Grid_36,-64.5,25,3,2,100.0,14.4,37.38,0.36,Normal
Grid_36,-64.1,28,3,0,95.13,14.4,31.97,0.36,Normal
Grid_36,-66.8,26,3,2,100.0,14.4,38.41,0.36,Normal
Grid_36,-67.2,32,4,2,95.52,14.4,37.55,0.36,Normal
Grid_36,-67.4,28,4,1,98.5,14.4,37.2,0.36,Normal
Grid_36,-63.4,25,3,1,100.0,14.4,36.67,0.36,Normal
Grid_36,-66.5,27,4,2,96.67,14.4,30.78,0.36,Normal
Grid_36,-66.2,27,2,2,100.0,14.4,28.26,0.36,Normal
Grid_36,-64.8,29,4,0,89.03,14.4,35.63,0.36,Normal
Grid_36,-63.3,26,3,1,85.16,14.4,28.09,0.36,Normal
Grid_36,-65.1,29,3,0,100.0,14.4,40.55,0.36,Normal
Grid_36,-65.6,24,3,2,100.0,14.4,32.52,0.36,Normal
