Node_ID,Trust_Direct,Trust_Indirect,Trust_Overall,Malicious_Prob,Path_Selected,PDR,Avg_Delay,Throughput_kbps,Energy_Consumed,Packet_Loss,Anomaly_Score,Label,Attack_Class
N32,0.438,0.758,0.598,0.257,P4->P15->P29,84.37,6.78,48,2.413,52.51,0.65,0,Normal
N147,0.606,0.557,0.582,0.01,P9->P17->P23,91.16,9.68,21,3.217,23.32,0.034,0,Normal
N12,0.212,0.758,0.485,0.911,P5->P14->P24,70.56,17.02,87,1.888,14.87,0.395,0,Normal
N115,0.771,0.913,0.842,0.182,P1->P17->P25,86.57,25.51,52,2.872,10.15,0.213,0,Normal
N31,0.661,0.584,0.622,0.602,P8->P16->P30,82.57,26.02,93,0.993,55.1,0.813,1,Packet Drop
N141,0.283,0.813,0.548,0.914,P9->P15->P22,58.43,7.91,15,2.695,56.31,0.259,0,Normal
N172,0.862,0.989,0.926,0.278,P7->P17->P25,85.43,37.86,77,2.278,34.54,0.958,0,Normal
N134,0.596,0.356,0.476,0.707,P2->P15->P26,96.72,29.26,23,2.877,25.48,0.417,1,Sybil Attack
N60,0.452,0.609,0.53,0.432,P2->P15->P27,89.57,44.03,17,1.303,30.22,0.83,0,Sybil Attack
N58,0.716,0.386,0.551,0.6,P5->P17->P27,68.6,42.04,64,4.659,26.56,0.346,0,Normal
N162,0.614,0.889,0.752,0.869,P7->P18->P27,94.57,35.14,34,2.868,44.55,0.292,0,Normal
N146,0.294,0.476,0.385,0.616,P6->P18->P29,70.45,9.14,21,2.757,35.2,0.113,0,Normal
N7,0.473,0.224,0.348,0.116,P7->P17->P26,52.52,30.02,19,4.141,30.6,0.866,0,Normal
N106,0.602,0.283,0.442,0.051,P3->P13->P26,55.21,39.25,86,2.685,48.26,0.794,0,Normal
N130,0.707,0.329,0.518,0.128,P5->P13->P30,62.99,49.86,56,4.894,9.01,0.109,0,Normal
N132,0.674,0.743,0.708,0.522,P9->P11->P27,84.48,48.43,63,1.131,30.56,0.942,0,Normal
N189,0.233,0.254,0.244,0.05,P6->P11->P30,64.77,26.65,26,4.399,0.52,0.613,0,Packet Drop
N97,0.239,0.794,0.516,0.907,P1->P16->P23,77.39,15.18,74,2.959,2.29,0.979,1,Selective Forwarding
N146,0.769,0.397,0.583,0.388,P6->P18->P23,85.25,49.09,34,1.508,9.87,0.453,0,Normal
N75,0.429,0.943,0.686,0.728,P6->P11->P27,94.08,38.99,43,3.902,26.41,0.547,1,Selective Forwarding
N87,0.275,0.931,0.603,0.365,P1->P14->P29,89.63,28.22,37,3.163,19.79,0.491,0,Normal
N195,0.907,0.274,0.59,0.205,P8->P13->P24,72.79,43.78,31,4.695,43.28,0.583,0,Normal
N120,0.337,0.455,0.396,0.653,P8->P12->P25,87.49,28.7,28,1.503,58.67,0.713,1,Packet Drop
N68,0.287,0.812,0.55,0.154,P7->P11->P27,62.78,15.48,93,3.419,26.21,0.252,0,Normal
N159,0.273,0.803,0.538,0.759,P4->P12->P24,71.1,37.48,16,4.479,10.1,0.854,0,Normal
N13,0.68,0.268,0.474,0.258,P10->P16->P26,98.86,25.58,93,3.491,44.99,0.866,0,Normal
N37,0.72,0.202,0.461,0.109,P5->P13->P24,77.04,45.83,40,3.246,53.86,0.093,0,Normal
N22,0.405,0.964,0.684,0.86,P6->P18->P22,88.02,44.31,53,2.919,42.77,0.282,1,Packet Drop
N121,0.322,0.548,0.435,0.09,P8->P20->P24,67.89,21.68,16,1.395,41.37,0.004,0,Normal
N51,0.765,0.538,0.652,0.208,P3->P18->P25,67.72,26.38,97,2.578,49.6,0.908,0,Normal
N151,0.343,0.229,0.286,0.515,P1->P15->P23,65.18,37.13,65,2.94,16.54,0.524,0,Normal
N173,0.663,0.77,0.716,0.523,P3->P16->P28,83.23,23.33,59,2.668,36.71,0.121,0,Normal
N139,0.478,0.606,0.542,0.873,P8->P19->P21,64.49,24.25,24,4.656,44.85,0.267,1,Sybil Attack
N177,0.287,0.674,0.481,0.644,P8->P17->P23,83.05,17.24,21,0.583,21.22,0.504,1,Data Tampering
N175,0.576,0.341,0.458,0.161,P8->P18->P30,84.72,23.18,67,1.649,52.55,0.955,0,Selective Forwarding
N148,0.332,0.217,0.274,0.847,P4->P19->P28,76.14,37.28,32,2.58,24.48,0.71,1,Packet Drop
N68,0.251,0.617,0.434,0.562,P4->P18->P24,50.98,14.6,56,2.742,22.39,0.321,0,Normal
N145,0.916,0.439,0.678,0.142,P2->P16->P24,99.46,7.58,27,1.355,58.68,0.917,0,Normal
N92,0.279,0.769,0.524,0.3,P9->P13->P26,52.62,29.91,28,2.821,14.58,0.449,0,Normal
N85,0.999,0.568,0.784,0.382,P10->P18->P24,80.13,41.38,82,3.226,52.98,0.114,0,Normal
N13,0.863,0.865,0.864,0.075,P5->P20->P27,75.01,38.71,84,2.402,59.51,0.662,0,Normal
N183,0.676,0.962,0.819,0.52,P2->P17->P24,74.58,9.37,81,4.671,34.88,0.06,0,Normal
N176,0.664,0.877,0.77,0.398,P7->P15->P25,88.75,24.75,65,3.919,35.76,0.724,0,Normal
N41,0.68,0.333,0.507,0.48,P7->P18->P30,70.31,46.72,49,1.069,23.85,0.664,0,Normal
N103,0.39,0.62,0.505,0.75,P7->P13->P21,51.0,10.85,56,0.92,40.63,0.349,0,Normal
N24,0.917,0.519,0.718,0.863,P8->P11->P25,65.83,10.01,41,3.073,2.39,0.126,1,Data Tampering
N118,0.509,0.282,0.395,0.926,P10->P18->P30,51.34,42.4,75,1.376,42.79,0.582,0,Normal
N53,0.529,0.987,0.758,0.868,P7->P19->P24,90.58,28.23,76,3.495,7.64,0.431,0,Normal
N46,0.206,0.992,0.599,0.126,P3->P17->P22,54.48,9.12,40,1.473,49.18,0.748,0,Normal
N135,0.936,0.233,0.584,0.598,P4->P11->P23,75.02,17.8,11,3.351,31.44,0.17,0,Normal
N150,0.551,0.215,0.383,0.091,P10->P16->P29,94.95,22.88,34,0.998,40.73,0.317,0,Sybil Attack
N137,0.889,0.397,0.643,0.776,P6->P13->P27,63.05,22.78,19,2.854,40.25,0.61,0,Normal
N51,0.29,0.758,0.524,0.334,P3->P13->P30,70.85,10.07,81,0.627,56.69,0.422,0,Normal
N81,0.575,0.65,0.612,0.586,P7->P17->P29,88.15,24.51,88,1.212,12.5,0.884,1,Sybil Attack
N75,0.624,0.628,0.626,0.004,P3->P13->P29,84.5,33.22,83,3.147,28.41,0.35,0,Normal
N68,0.493,0.258,0.376,0.347,P7->P20->P28,72.71,45.01,92,2.289,1.39,0.615,0,Normal
N142,0.456,0.444,0.45,0.915,P3->P11->P27,56.75,48.05,67,1.006,42.21,0.63,0,Normal
N18,0.854,0.647,0.75,0.778,P3->P11->P27,80.39,11.09,87,2.379,50.23,0.072,0,Normal
N27,0.233,0.293,0.263,0.583,P7->P17->P22,64.7,22.6,39,0.834,56.0,0.988,0,Normal
N110,0.521,0.458,0.49,0.884,P10->P19->P22,86.77,15.25,11,3.578,42.24,0.056,1,Packet Drop
N5,0.583,0.564,0.573,0.89,P10->P18->P28,94.53,28.2,21,4.649,28.45,0.542,0,Normal
N34,0.602,0.668,0.635,0.323,P1->P16->P23,84.62,39.74,31,3.714,43.54,0.009,0,Normal
N19,0.606,0.453,0.53,0.952,P3->P11->P22,80.74,35.73,71,1.759,25.38,0.754,1,Sybil Attack
N99,0.703,0.989,0.846,0.988,P6->P19->P29,97.52,27.99,59,1.815,21.24,0.352,1,Packet Drop
N83,0.32,0.655,0.488,0.475,P3->P17->P28,83.74,13.39,53,4.966,34.58,0.327,0,Normal
