Node_ID,Trust_Direct,Trust_Indirect,Trust_Overall,Attack_Type,Malicious_Prob,Trans_Rate,PDR (%),Delay (ms),Energy (mJ),Path_Selected,Packet_Loss (%),Anomaly_Score,Label
N32,0.438,0.758,0.598,Normal,0.257,48,84.37,6.78,2.413,P4->P15->P29,52.51,0.65,0
N147,0.606,0.557,0.582,Normal,0.01,21,91.16,9.68,3.217,P9->P17->P23,23.32,0.034,0
N12,0.212,0.758,0.485,Normal,0.911,87,70.56,17.02,1.888,P5->P14->P24,14.87,0.395,0
N115,0.771,0.913,0.842,Normal,0.182,52,86.57,25.51,2.872,P1->P17->P25,10.15,0.213,0
N31,0.661,0.584,0.622,Packet Drop,0.602,93,82.57,26.02,0.993,P8->P16->P30,55.1,0.813,1
N141,0.283,0.813,0.548,Normal,0.914,15,58.43,7.91,2.695,P9->P15->P22,56.31,0.259,0
N172,0.862,0.989,0.926,Normal,0.278,77,85.43,37.86,2.278,P7->P17->P25,34.54,0.958,0
N134,0.596,0.356,0.476,Sybil Attack,0.707,23,96.72,29.26,2.877,P2->P15->P26,25.48,0.417,1
N60,0.452,0.609,0.53,Sybil Attack,0.432,17,89.57,44.03,1.303,P2->P15->P27,30.22,0.83,0
N58,0.716,0.386,0.551,Normal,0.6,64,68.6,42.04,4.659,P5->P17->P27,26.56,0.346,0
N162,0.614,0.889,0.752,Normal,0.869,34,94.57,35.14,2.868,P7->P18->P27,44.55,0.292,0
N146,0.294,0.476,0.385,Normal,0.616,21,70.45,9.14,2.757,P6->P18->P29,35.2,0.113,0
N7,0.473,0.224,0.348,Normal,0.116,19,52.52,30.02,4.141,P7->P17->P26,30.6,0.866,0
N106,0.602,0.283,0.442,Normal,0.051,86,55.21,39.25,2.685,P3->P13->P26,48.26,0.794,0
N130,0.707,0.329,0.518,Normal,0.128,56,62.99,49.86,4.894,P5->P13->P30,9.01,0.109,0
N132,0.674,0.743,0.708,Normal,0.522,63,84.48,48.43,1.131,P9->P11->P27,30.56,0.942,0
N189,0.233,0.254,0.244,Packet Drop,0.05,26,64.77,26.65,4.399,P6->P11->P30,0.52,0.613,0
N97,0.239,0.794,0.516,Selective Forwarding,0.907,74,77.39,15.18,2.959,P1->P16->P23,2.29,0.979,1
